Product Name,Price,Link
Johnnie Walker Black Label 12 Years 70cl,"₦ 44,940",https://www.jumia.com.ng/johnnie-walker-black-label-12-years-70cl-83821469.html
Baileys Original 70cl,"₦ 21,000",https://www.jumia.com.ng/baileys-original-70cl-83821453.html
Johnnie Walker Red Pocket Size 20cl,"₦ 5,800",https://www.jumia.com.ng/johnnie-walker-red-pocket-size-20cl-83821485.html
Johnnie Walker Gold Label 70cl,"₦ 67,580",https://www.jumia.com.ng/johnnie-walker-gold-label-70cl-83821473.html
Ciroc Pineapple 1L,"₦ 25,720",https://www.jumia.com.ng/pineapple-1ltr-ciroc-mpg1640050.html
Johnnie Walker Red Label 70cl,"₦ 20,980",https://www.jumia.com.ng/johnnie-walker-red-label-70cl-83821470.html
Black & White Blended Scotch Whisky 70cl,"₦ 16,230",https://www.jumia.com.ng/black-white-blended-scotch-whisky-70cl-220498493.html
Ciroc Red Berry Vodka 1L,"₦ 25,720",https://www.jumia.com.ng/ciroc-red-berry-vodka-1l-83821653.html
Singleton of Dufftown 12 Year Old 70cl,"₦ 55,100",https://www.jumia.com.ng/singleton-of-dufftown-12-year-old-70cl-83821457.html
Johnnie Walker Black Tattoo,"₦ 59,940",https://www.jumia.com.ng/johnnie-walker-black-tattoo-253539621.html
Baileys Original Irish Cream 700ml.,"₦ 24,830",https://www.jumia.com.ng/baileys-original-irish-cream-700ml.-395492463.html
Johnnie Walker Green Label 70cl,"₦ 77,340",https://www.jumia.com.ng/johnnie-walker-green-label-70cl-83821474.html
Singleton 15 Years Old 70cl,"₦ 82,170",https://www.jumia.com.ng/singleton-15-years-old-70cl-238911973.html
Johnnie Walker Black Pocket Scotch 20cl,"₦ 12,250",https://www.jumia.com.ng/johnnie-walker-black-pocket-scotch-20cl-395492485.html
Johnnie Walker Red Label 70cl.,"₦ 22,170",https://www.jumia.com.ng/johnnie-walker-red-label-70cl.-395492484.html
Johnnie Walker Black Label 70cl.,"₦ 47,490",https://www.jumia.com.ng/johnnie-walker-black-label-70cl.-395492475.html
Singleton Malt Whisky 12Yrs 70cl,"₦ 75,030",https://www.jumia.com.ng/singleton-malt-whisky-12yrs-70cl-395492487.html
Johnnie Walker Blue 70cl,"₦ 479,840",https://www.jumia.com.ng/johnnie-walker-blue-70cl-395492478.html
Black & White Scotch Whisky-70cl,"₦ 17,150",https://www.jumia.com.ng/black-white-scotch-whisky-70cl-395492464.html
Johnnie Walker Gold Rsv 75cl,"₦ 71,400",https://www.jumia.com.ng/johnnie-walker-gold-rsv-75cl-395492482.html
Cerave Foaming Cleanser For Normal To Oily Skin 8 Fl Oz/ 236ml,"₦ 3,522",https://www.jumia.com.ng/cerave-foaming-cleanser-for-normal-to-oily-skin-8-fl-oz-236ml-376146301.html
ARHANORY Men Crossbody Chest Bag Casual Shoulder Sports Sling Bags,"₦ 3,150",https://www.jumia.com.ng/arhanory-men-crossbody-chest-bag-casual-shoulder-sports-sling-bags-393753669.html
Kinoki Cleansing Detox Foot Pads - 10 Pieces,"₦ 1,899",https://www.jumia.com.ng/kinoki-cleansing-detox-foot-pads-10-pieces-360982019.html
21V Electric Cordless Chainsaw 4-6in With 2 Security Locks,"₦ 20,499",https://www.jumia.com.ng/generic-21v-electric-cordless-chainsaw-4-6in-with-2-security-locks-262252335.html
Biore Wonderful UV Aqua Rich Watery Essence Sunscreen SPF 50 (50ml)--2PCS,"₦ 5,499",https://www.jumia.com.ng/biore-wonderful-uv-aqua-rich-watery-essence-sunscreen-spf-50-50ml-2pcs-262954984.html
Minoxidil Hair Increase Oil - Hair Treatment - Beard And Hair Growth,"₦ 6,399",https://www.jumia.com.ng/minoxidil-hair-increase-oil-hair-treatment-beard-and-hair-growth-240531362.html
"VIC ♛20000mAh Power Banks, Portable Charger Ultra Slim Battery Pack","₦ 7,490",https://www.jumia.com.ng/vic-20000mah-power-banks-portable-charger-ultra-slim-battery-pack-347714382.html
MOOYAM Advanced Snail Face Repair Cream Anti-aging&Anti Wrinkle100g,"₦ 3,699",https://www.jumia.com.ng/mooyam-advanced-snail-face-repair-cream-anti-aginganti-wrinkle100g-376862864.html
"Nokia 2720 Flip - 2.8"" - 4G LTE - Dual Sim - Black","₦ 39,900",https://www.jumia.com.ng/nokia-2720-flip-2.8-4g-lte-dual-sim-black-401506965.html
Hot Hair Straightener Comb,"₦ 7,299",https://www.jumia.com.ng/hot-hair-straightener-comb-generic-mpg3092426.html
"Anti Blue Rays,Anti Blue Light Protective Glasses","₦ 3,799",https://www.jumia.com.ng/generic-anti-blue-raysanti-blue-light-protective-glasses-78515690.html
"Daynee Skin Whitening Gummies Glutathione, Collagen & Biotin","₦ 7,100",https://www.jumia.com.ng/daynee-skin-whitening-gummies-glutathione-collagen-biotin-306485611.html
Clippers & Shavers 2021 New Rechargeable Full Head Balding.,"₦ 6,862",https://www.jumia.com.ng/clippers-shavers-2021-new-rechargeable-full-head-balding.-generic-mpg9629055.html
Ace Elec 20000 MAh Ultra Slim Portable Power Bank,"₦ 7,999",https://www.jumia.com.ng/ace-elec-20000-mah-ultra-slim-portable-power-bank-239880320.html
"Pei Mei Retinol C Serum Face Anti-Acne Moisturizer, Anti-Aging","₦ 2,012",https://www.jumia.com.ng/pei-mei-retinol-c-serum-face-anti-acne-moisturizer-anti-aging-268947703.html
Oraimo Traveler 3 Lit 27000mAh 15W Portable Charger,"₦ 21,500",https://www.jumia.com.ng/oraimo-traveler-3-lit-27000mah-15w-portable-charger-355986351.html
WATCH GT8  Smart Watch Band Bluetooth Call Smart Watches Pink,"₦ 7,520",https://www.jumia.com.ng/fashion-watch-gt8-smart-watch-band-bluetooth-call-smart-watches-pink-351134174.html
Mediana 5-in-1 Mediana Hair Care Bundle,"₦ 8,199",https://www.jumia.com.ng/5-in-1-mediana-hair-care-bundle-mediana-mpg3930376.html
Agapeon 6-layer Adjustable Folding Aluminum Metal Laptop Stand,"₦ 4,992",https://www.jumia.com.ng/agapeon-6-layer-adjustable-folding-aluminum-metal-laptop-stand-148258568.html
Pinnacle 8.5 Litres Yam Pounder And Multifunctional Food Machine,"₦ 41,230",https://www.jumia.com.ng/pinnacle-8.5-litres-yam-pounder-and-multifunctional-food-machine-45632145.html
Philly 20000 Mah  Power Charging Bank Fast Charging,"₦ 7,519",https://www.jumia.com.ng/philly-20000-mah-power-charging-bank-fast-charging-314543716.html
Sacha Buttercup Setting Powder/Finishing Powder For Every Skin,"₦ 1,646",https://www.jumia.com.ng/sacha-buttercup-setting-powderfinishing-powder-for-every-skin-237729219.html
Ace Elec Power Banks 30000 MAh  Portable Super Fast Charger,"₦ 14,500",https://www.jumia.com.ng/ace-elec-power-banks-30000-mah-portable-super-fast-charger-295601071.html
Kiki New Gain Rechargeable Hair Clipper With Long Lasting Battery 2000mAh,"₦ 16,800",https://www.jumia.com.ng/kiki-new-gain-rechargeable-hair-clipper-with-long-lasting-battery-2000mah-71273659.html
Tongue Cleaner Tongue Scraper Set (big Iron Box),"₦ 3,899",https://www.jumia.com.ng/generic-tongue-cleaner-tongue-scraper-set-big-iron-box-248486228.html
Mythco 46Pcs Socket Wrench Set Red,"₦ 9,310",https://www.jumia.com.ng/mythco-46pcs-socket-wrench-set-red-291050486.html
Cerave Blemish Control Cleanser 236ml,"₦ 4,154",https://www.jumia.com.ng/cerave-blemish-control-cleanser-236ml-218217862.html
Sky Vision Solar Powered Dual Lens PTZ CCTV Camera V380,"₦ 99,099",https://www.jumia.com.ng/solar-powered-dual-lens-ptz-cctv-camera-v380-sky-vision-mpg9412725.html
EAGEAT 10 Speed Adjustable Laptop Stand+phone Stand,"₦ 4,189",https://www.jumia.com.ng/eageat-10-speed-adjustable-laptop-standphone-stand-240827727.html
Intelligent Body Fat Weight Scale Rechargeble,"₦ 10,699",https://www.jumia.com.ng/generic-intelligent-body-fat-weight-scale-rechargeble-253785596.html
GUEETON Rechargeable Metal Simple Style Hair Clipper Black Gold,"₦ 4,099",https://www.jumia.com.ng/gueeton-rechargeable-metal-simple-style-hair-clipper-black-gold-79020040.html
Kiki New Gain Professional Rechargeable Wireless Hair Clipper With Battery Percentage Display (NG-888B),"₦ 16,800",https://www.jumia.com.ng/led-display-cordless-rechargeable-clipper-ng-888b-kiki-new-gain-mpg2195387.html
Nova Electric Hair Straightener,"₦ 7,488",https://www.jumia.com.ng/electric-hair-straightener-nova-mpg9612050.html
SADOER 8pcs Fruit Face Mask & Anti Wrinkle Moisturizing Skin Care,"₦ 3,655",https://www.jumia.com.ng/8pcs-fruit-face-mask-anti-wrinkle-moisturizing-skin-care-sadoer-mpg1834845.html
3 Column Mobile Steel Wardrobe Closet,"₦ 22,899",https://www.jumia.com.ng/3-column-mobile-steel-wardrobe-closet-generic-mpg7112233.html
Nova Rechargeable Hair Clipper (NS 216),"₦ 4,099",https://www.jumia.com.ng/nova-rechargeable-hair-clipper-ns-216-56323998.html
GUIXIA  Air31 Wireless Bluetooth 5.3 In Ear Transparent Earphones,"₦ 4,857",https://www.jumia.com.ng/generic-guixia-air31-wireless-bluetooth-5.3-in-ear-transparent-earphones-303544329.html
LASA 132CM TRIPOD TRAVEL STAND FOR PHONE / CAMERA,"₦ 13,959",https://www.jumia.com.ng/132cm-tripod-travel-stand-for-phone-camera-lasa-mpg4310791.html
Ace Elec 50000 MAh Power Banks With LED Light Portable Super Fast Charger,"₦ 24,990",https://www.jumia.com.ng/ace-elec-50000-mah-power-banks-with-led-light-portable-super-fast-charger-348751098.html
Mateamoda Men Bags Wallets Purses Card Bags Male Money Bags,"₦ 4,032",https://www.jumia.com.ng/mateamoda-men-bags-wallets-purses-card-bags-male-money-bags-351347415.html
Digital Voice Arm Automatic Blood Pressure Monitor & USB+Bag,"₦ 21,547",https://www.jumia.com.ng/generic-digital-voice-arm-automatic-blood-pressure-monitor-usbbag-141157966.html
